# hist, gauss, lorentz, allen
4.223749278677504293e+01 4.240602306583721770e+01 4.237584264220203778e+01 4.755806929077696310e+01
4.173335549317555149e+01 4.189977781598591378e+01 4.186974329358331914e+01 4.677870165383549050e+01
4.126133900307218028e+01 4.142578976987036299e+01 4.139589637068070971e+01 4.563426492045920213e+01
4.081847954777673948e+01 4.098108238866101516e+01 4.095132540788004150e+01 4.507648303988896998e+01
4.040216417229121504e+01 4.056303147951143728e+01 4.053340631017078977e+01 4.347667019483206730e+01
4.001008107091976740e+01 4.016931531146592960e+01 4.013981746318254551e+01 4.335849228431498403e+01
3.964017793749849261e+01 3.979787278187049537e+01 3.976849789450140094e+01 4.338860488743701893e+01
3.929062690878399877e+01 3.944686820538718308e+01 3.941761205839796389e+01 4.361393956204312161e+01
3.895979494846113766e+01 3.911466156786541859e+01 3.908552008617876794e+01 4.306755273065722633e+01
3.864621873530830953e+01 3.879978330438994050e+01 3.877075256139936243e+01 4.255613221301653937e+01
3.834858329278772970e+01 3.850091283534561626e+01 3.847198905368728816e+01 4.177025295614505751e+01
3.806570373717333666e+01 3.821686023481883154e+01 3.818803978540187671e+01 4.214587032209196593e+01
3.779650963406943021e+01 3.794655051890805453e+01 3.791782991861748542e+01 4.196033221283286707e+01
3.754003154424900401e+01 3.768901013300257574e+01 3.766038604141291302e+01 4.216458775172500140e+01
3.729538941346881131e+01 3.744335529114848526e+01 3.741482450652075897e+01 4.282695941546376872e+01
3.706178252075842749e+01 3.720878188073114501e+01 3.718034133551238796e+01 4.292831419882607236e+01
3.683848074837642628e+01 3.698455669461713313e+01 3.695620345061305301e+01 4.257732775782893242e+01
3.662481697636416555e+01 3.677000979281400816e+01 3.674174103617117026e+01 4.199746309131827360e+01
3.642018043715518871e+01 3.656452782837882154e+01 3.653634086448059293e+01 4.200150376126898522e+01
3.622401089239944838e+01 3.636754819912763992e+01 3.633944044748391633e+01 4.232568650374511066e+01
3.603579351615476156e+01 3.617855390878727917e+01 3.615052289797893081e+01 4.249764470937326877e+01
3.585505438676288037e+01 3.599706903947843273e+01 3.596911240220163108e+01 4.178261412556393140e+01
3.568135650478529897e+01 3.582265475254271081e+01 3.579477022078546611e+01 4.152778448063618555e+01
3.551429626689063923e+01 3.565490574729761875e+01 3.562709114767184104e+01 4.071935064778075031e+01
3.535350033602414754e+01 3.549344711778969952e+01 3.546570036703427320e+01 4.018769006223399742e+01
3.519862285692344983e+01 3.533793155638744565e+01 3.531025065705136257e+01 3.925964280826025288e+01
3.504934297337334925e+01 3.518803686041619727e+01 3.516041989672736179e+01 3.899810626618857157e+01
3.490536260976040950e+01 3.504346370423341739e+01 3.501590883815366340e+01 3.896285481410491514e+01
3.476640448469662203e+01 3.490393364437254320e+01 3.487643911183860723e+01 3.875550567821877479e+01
3.463221032888945672e+01 3.476918732981257421e+01 3.474175143715905278e+01 3.867803355206688565e+01
3.450253928317984986e+01 3.463898289319006096e+01 3.461160401375030204e+01 3.856838672820432379e+01
3.437716645585668829e+01 3.451309450197223327e+01 3.448577107285101562e+01 3.816109078787366116e+01
3.425588162107913348e+01 3.439131105134249822e+01 3.436404157035487827e+01 3.823116488986486416e+01
3.413848804256517866e+01 3.427343498288981749e+01 3.424621800565861918e+01 3.811628001671785171e+01
3.402480140870638081e+01 3.415928121520131810e+01 3.413211535240682082e+01 3.798959754230137520e+01
3.391464886698728520e+01 3.404867617418453563e+01 3.402156008895883588e+01 3.782940054393708351e+01
3.380786814707226995e+01 3.394145691243564045e+01 3.391438931789497246e+01 3.765491446119380470e+01
3.370430676320401631e+01 3.383747030825884394e+01 3.381044996516677514e+01 3.696176091501218508e+01
3.360382128767028576e+01 3.373657233605660366e+01 3.370959805061096404e+01 3.653168708526199282e+01
3.350627668805871195e+01 3.363862740078055680e+01 3.361169802251798444e+01 3.543631028980013298e+01
3.341154572186128746e+01 3.354350772997580776e+01 3.351662214978738064e+01 3.417438156531878235e+01
3.331950838272029358e+01 3.345109281768730369e+01 3.342424996593878461e+01 3.405153342105469960e+01
3.323005139324906310e+01 3.336126891513837478e+01 3.333446775988995370e+01 3.373519258322528458e+01
3.314306773992049671e+01 3.327392856365660379e+01 3.324716810897588459e+01 3.235560394772880244e+01
3.305845624600802779e+01 3.318897016581334469e+01 3.316224945017663828e+01 3.170580451197599814e+01
3.297612117899576845e+01 3.310629759117889392e+01 3.307961568595617052e+01 3.142975878095182907e+01
3.289597188925549176e+01 3.302581981347724849e+01 3.299917582149503659e+01 3.092735913140285930e+01
3.281792247712279931e+01 3.294745057626039397e+01 3.292084363043925066e+01 3.076924481602347328e+01
3.274189148580248343e+01 3.287110808452121802e+01 3.284453734658288226e+01 3.041413525678039775e+01
3.266780161779491465e+01 3.279671471992698883e+01 3.277017937916737367e+01 3.001531576497388798e+01
3.259557947276796597e+01 3.272419677758932721e+01 3.269769604971386912e+01 3.008012967228765788e+01
3.252515530500614460e+01 3.265348422249407179e+01 3.262701734851159330e+01 2.957782242461480848e+01
3.245646279875195006e+01 3.258451046389907191e+01 3.255807670907083207e+01 2.884983770021703720e+01
3.238943885991853477e+01 3.251721214617224121e+01 3.249081079901338143e+01 2.860703311171860008e+01
3.232402342279797836e+01 3.245152895468894627e+01 3.242515932601924789e+01 2.824099297158561939e+01
